Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
4,4,13.3,31,98,9,16,58,5,1.23,73473.12
10,0,13.3,13,74,9,16,53,5,1.37,74538.72
7,3,14.0,9,83,6,26,61,5,1.63,38468.16
4,4,13.3,15,83,9,16,61,5,1.21,86793.12
7,3,14.0,8,106,9,29,61,5,1.63,57755.52
4,3,15.6,15,106,9,18,72,5,2.16,60223.9824
2,3,17.3,8,56,6,10,66,5,2.0,30049.92
2,3,15.6,8,106,9,16,72,5,1.7,59567.04
0,3,15.6,13,59,8,10,53,5,2.1,25521.12
11,1,15.6,8,102,1,20,80,5,1.8,119427.12
10,3,15.6,8,74,9,16,72,4,2.2,33513.12
7,3,17.3,8,106,1,29,70,5,2.5,67718.88
0,3,15.6,0,14,6,16,17,5,2.1,24029.28
7,3,14.0,8,83,9,10,61,5,1.63,43263.36
2,3,14.0,0,16,6,37,12,6,1.65,14811.3072
4,3,17.3,8,106,1,20,7,5,2.8,74378.88
7,3,17.3,8,83,9,16,61,5,2.5,49443.84
4,3,15.6,0,74,9,10,30,5,2.36,34045.3872
4,3,15.6,8,56,6,10,24,5,2.2,23922.72
0,4,14.0,15,106,9,16,61,5,1.6,47099.52
0,3,15.6,8,60,6,16,97,5,7.2,30476.16
7,3,15.6,0,97,9,10,53,5,2.05,31861.44
7,3,14.0,8,106,9,16,61,5,1.63,52640.64
10,3,15.6,0,37,6,10,43,4,1.9,13445.7408
2,1,17.3,8,77,9,5,75,5,3.0,49976.64
10,3,15.6,8,74,6,10,66,4,2.2,26586.72
7,3,13.3,15,74,6,16,53,5,1.32,37242.72
0,3,17.3,15,60,6,10,97,5,3.0,34898.4
10,3,14.0,15,83,9,16,35,5,1.75,59461.5456
10,1,15.6,15,102,9,16,77,4,2.4,46300.32
16,3,15.6,0,68,6,26,47,5,2.1,32074.56
7,3,15.6,0,8,6,16,16,5,1.86,19660.32
2,4,14.0,8,106,9,16,61,5,1.25,58554.72
7,4,12.5,11,47,9,29,46,5,0.97,107305.92
2,3,15.6,8,37,6,10,43,5,2.0,18328.32
0,3,15.6,0,56,6,10,47,5,2.1,23816.16
4,1,15.6,8,102,1,29,75,5,2.56,66560.5728
4,1,15.6,8,102,9,1,75,5,2.62,47898.72
10,3,15.6,0,74,6,4,53,5,1.9,26533.44
11,1,17.3,8,102,1,18,79,5,2.8,100699.2
7,4,14.0,8,80,6,16,53,5,1.48,57648.96
7,3,15.6,8,83,8,16,6,5,1.91,32980.32
10,0,14.0,13,59,6,16,53,5,1.74,33513.12
2,0,13.3,7,83,9,16,53,5,1.1,70063.2
4,0,15.6,7,106,9,16,61,5,1.56,55890.72
16,3,15.6,0,55,6,26,47,5,2.1,23816.16
2,3,15.6,0,14,6,10,22,5,2.03,21471.84
0,3,17.3,15,83,6,16,98,5,3.0,42890.4
4,3,15.6,8,83,9,16,6,5,2.13,38787.84
10,1,15.6,15,102,1,16,76,5,2.5,57489.12
0,3,15.6,0,37,6,10,43,5,2.1,18541.44
11,1,15.6,15,102,1,18,79,5,2.4,95850.72
0,3,15.6,0,113,6,10,44,5,2.1,19367.8128
4,1,15.6,8,102,9,5,75,5,2.56,56502.9072
0,3,17.3,15,83,9,16,98,5,3.0,45501.12
7,3,13.3,15,83,6,26,61,5,1.49,40173.12
8,4,13.0,17,74,9,16,53,5,1.05,71874.72
7,3,17.3,15,74,8,22,6,5,2.71,37242.72
10,3,15.6,0,9,6,26,16,4,2.2,16463.52
16,3,15.6,0,59,6,26,53,5,5.4,26053.92
7,3,17.3,8,83,9,16,69,5,2.5,49177.44
4,3,15.6,0,59,9,10,53,5,2.3,24455.52
0,3,15.6,0,56,6,4,47,5,2.1,23922.72
11,1,18.4,8,95,5,31,62,5,4.4,149130.72
10,3,15.6,8,74,9,5,4,5,1.9,43316.64
7,0,13.3,11,83,9,16,61,5,1.29,79866.72
4,3,15.6,8,106,1,20,7,2,2.02,55890.72
4,4,13.3,8,83,9,16,61,5,1.23,74538.72
10,0,13.9,11,106,1,29,61,5,1.4,98514.72
16,3,15.6,0,74,9,4,53,5,2.0,42251.04
18,3,15.6,15,83,9,16,98,4,1.95,63882.72
4,3,17.3,7,106,1,29,63,5,2.77,82530.72
4,3,15.6,5,102,1,29,75,5,2.06,127712.16
10,1,15.6,15,77,9,16,75,4,2.4,41505.12
0,4,13.3,15,81,9,16,52,5,1.12,52693.92
4,3,17.3,8,106,9,5,7,5,2.8,57808.8
17,3,14.0,15,37,6,23,43,5,1.3,13852.8
18,4,13.3,15,74,9,16,98,4,1.3,53274.672
10,3,17.3,2,83,9,16,98,4,2.8,37189.44
4,0,13.3,13,106,9,10,61,5,1.62,44701.92
7,3,17.3,15,83,9,10,69,5,2.5,48697.92
14,1,17.3,5,103,5,12,82,5,3.49,324954.72
7,3,13.3,8,83,9,29,61,5,1.49,51095.52
7,1,17.3,15,102,1,18,75,5,3.35,73473.12
7,3,17.3,8,106,9,16,70,5,2.5,55677.6
4,1,15.6,12,102,1,31,79,5,2.65,98301.6
10,3,15.6,0,68,6,4,47,5,2.1,26267.04
0,3,15.6,8,97,9,10,72,5,2.23,39533.76
10,1,15.6,15,102,1,31,79,5,3.2,93186.72
4,5,15.6,6,114,1,18,101,5,2.8,162770.4
10,1,15.6,8,102,1,29,79,4,2.4,74485.44
4,3,15.6,36,59,8,10,53,5,2.3,23389.92
4,4,13.3,11,106,9,16,61,5,1.21,103842.72
0,3,15.6,8,102,9,10,75,2,2.4,41505.12
2,1,17.3,8,102,1,18,75,5,2.9,74964.96
7,3,15.6,8,56,6,26,47,4,2.1,18594.72
10,3,15.6,8,74,9,16,53,4,2.2,29250.72
8,4,13.0,17,97,9,29,53,5,1.05,79866.72
4,4,13.3,15,106,9,16,7,5,1.4,49650.5664
10,3,17.3,2,74,9,10,85,4,2.8,31381.92
7,3,14.0,8,106,9,16,69,5,1.63,54931.68
4,4,14.0,8,83,9,16,61,5,1.6,61218.72
4,0,13.3,7,106,1,29,61,5,1.62,68145.12
4,3,15.6,8,83,9,16,6,2,2.2,36089.208
10,0,14.0,15,83,9,16,61,5,1.74,47898.72
16,4,13.3,8,89,9,16,47,5,1.2,72620.64
7,3,15.6,8,83,9,10,61,5,2.1,42304.32
4,1,17.3,15,102,1,18,79,5,4.42,130873.7952
0,3,15.6,8,97,9,16,72,5,2.2,44328.96
4,3,15.6,7,97,1,10,30,5,2.3,45768.0528
2,3,15.6,8,74,9,16,67,5,2.0,40972.32
2,3,17.3,8,74,9,21,86,5,2.69,47472.48
7,3,15.6,8,97,9,10,1,5,1.9,67612.32
2,3,15.6,0,59,6,10,53,5,2.37,21258.1872
7,3,15.6,0,19,6,26,12,5,2.1,17582.4
10,1,15.6,15,102,1,18,79,5,3.2,79866.72
4,3,14.0,8,74,9,16,53,5,1.6,45767.52
0,0,13.3,13,68,9,16,47,5,1.6,36709.92
4,3,15.6,8,97,1,16,30,2,2.36,47898.72
0,3,15.6,0,56,6,10,47,2,2.1,20779.2
2,3,15.6,8,2,6,5,24,5,2.2,30636.0
2,1,17.3,8,103,5,31,82,5,4.7,207259.2
0,1,15.6,15,77,9,16,75,5,2.5,45074.88
10,3,15.6,0,56,9,4,47,5,7.2,31381.92
2,3,17.3,8,106,9,5,63,5,2.1,61005.6
2,3,17.3,8,97,9,5,86,4,2.69,47365.92
4,1,15.6,8,77,9,16,75,5,2.56,46833.12
10,0,13.9,13,97,9,16,53,5,1.38,57489.12
4,3,15.6,8,106,9,6,7,5,2.2,52480.8
7,3,15.6,36,74,9,10,53,5,2.04,29783.52
2,1,17.3,8,103,1,16,82,5,3.6,159786.72
7,3,13.3,15,83,6,26,61,5,1.49,35964.0
1,4,13.3,23,67,9,29,59,8,1.37,108691.2
4,0,15.6,13,106,9,10,61,5,2.08,43636.32
2,1,17.3,8,102,1,18,93,5,4.3,95850.72
2,3,15.6,0,14,6,10,22,5,1.68,24988.32
10,0,13.9,13,106,9,29,61,5,1.37,98514.72
